WV;l;{ts '2016-11-09 15:25:15'}
WV577311108;Clinton;Hillary;|WV570481108;Trump;Donald;|WV577321108;Johnson;Gary;|WV577671108;Stein;Jill;|WV577831108;Castle;Darrell;|WV570601108;Justice;Jim;|WV570581108;Cole;Bill;|WV577621108;Pritt;Charlotte;|WV577841108;Hudok;Phil;|WV577341108;Moran;David;|WV570821108;Manypenny;Mike;|WV567401108;McKinley;David;|WV570841108;Hunt;Mark;|WV567381108;Mooney;Alex;|WV570911108;Detch;Matt;|WV567391108;Jenkins;Evan;|WV577331108;Lawhorn;Zane;

WV;P;G;0;West Virginia;;100.0;X;5;0;;||WV577311108;Dem;187457;26.5;;X;;;1|WV570481108;GOP;486198;68.7;X;X;;5;2|WV577321108;Lib;22798;3.2;;X;;;3|WV577671108;Mnt;8000;1.1;;X;;;4|WV577831108;CST;3773;0.5;;X;;;5
WV;P;G;54001;Barbour;;100.0;X;;0;;||WV577311108;Dem;1213;20.1;;X;;;1|WV570481108;GOP;4509;74.9;;X;;;2|WV577321108;Lib;212;3.5;;X;;;3|WV577671108;Mnt;63;1.0;;X;;;4|WV577831108;CST;27;0.4;;X;;;5
WV;P;G;54003;Berkeley;;100.0;X;;0;;||WV577311108;Dem;12287;28.7;;X;;;1|WV570481108;GOP;28210;66.0;;X;;;2|WV577321108;Lib;1617;3.8;;X;;;3|WV577671108;Mnt;470;1.1;;X;;;4|WV577831108;CST;186;0.4;;X;;;5
WV;P;G;54005;Boone;;100.0;X;;0;;||WV577311108;Dem;1783;20.6;;X;;;1|WV570481108;GOP;6483;74.9;;X;;;2|WV577321108;Lib;246;2.8;;X;;;3|WV577671108;Mnt;69;0.8;;X;;;4|WV577831108;CST;73;0.8;;X;;;5
WV;P;G;54007;Braxton;;100.0;X;;0;;||WV577311108;Dem;1315;26.0;;X;;;1|WV570481108;GOP;3516;69.4;;X;;;2|WV577321108;Lib;157;3.1;;X;;;3|WV577671108;Mnt;47;0.9;;X;;;4|WV577831108;CST;28;0.6;;X;;;5
WV;P;G;54009;Brooke;;100.0;X;;0;;||WV577311108;Dem;2549;26.7;;X;;;1|WV570481108;GOP;6574;68.9;;X;;;2|WV577321108;Lib;296;3.1;;X;;;3|WV577671108;Mnt;98;1.0;;X;;;4|WV577831108;CST;23;0.2;;X;;;5
WV;P;G;54011;Cabell;;100.0;X;;0;;||WV577311108;Dem;11306;34.6;;X;;;1|WV570481108;GOP;19648;60.1;;X;;;2|WV577321108;Lib;1182;3.6;;X;;;3|WV577671108;Mnt;388;1.2;;X;;;4|WV577831108;CST;177;0.5;;X;;;5
WV;P;G;54013;Calhoun;;100.0;X;;0;;||WV577311108;Dem;456;17.5;;X;;;1|WV570481108;GOP;2023;77.7;;X;;;2|WV577321108;Lib;63;2.4;;X;;;3|WV577671108;Mnt;44;1.7;;X;;;4|WV577831108;CST;18;0.7;;X;;;5
WV;P;G;54015;Clay;;100.0;X;;0;;||WV577311108;Dem;566;19.1;;X;;;1|WV570481108;GOP;2289;77.4;;X;;;2|WV577321108;Lib;60;2.0;;X;;;3|WV577671108;Mnt;24;0.8;;X;;;4|WV577831108;CST;19;0.6;;X;;;5
WV;P;G;54017;Doddridge;;100.0;X;;0;;||WV577311108;Dem;360;12.7;;X;;;1|WV570481108;GOP;2347;83.1;;X;;;2|WV577321108;Lib;64;2.3;;X;;;3|WV577671108;Mnt;37;1.3;;X;;;4|WV577831108;CST;18;0.6;;X;;;5
WV;P;G;54019;Fayette;;100.0;X;;0;;||WV577311108;Dem;4246;28.0;;X;;;1|WV570481108;GOP;10263;67.6;;X;;;2|WV577321108;Lib;434;2.9;;X;;;3|WV577671108;Mnt;179;1.2;;X;;;4|WV577831108;CST;65;0.4;;X;;;5
WV;P;G;54021;Gilmer;;100.0;X;;0;;||WV577311108;Dem;537;21.2;;X;;;1|WV570481108;GOP;1889;74.7;;X;;;2|WV577321108;Lib;68;2.7;;X;;;3|WV577671108;Mnt;24;0.9;;X;;;4|WV577831108;CST;10;0.4;;X;;;5
WV;P;G;54023;Grant;;100.0;X;;0;;||WV577311108;Dem;510;10.3;;X;;;1|WV570481108;GOP;4338;87.7;;X;;;2|WV577321108;Lib;65;1.3;;X;;;3|WV577671108;Mnt;21;0.4;;X;;;4|WV577831108;CST;11;0.2;;X;;;5
WV;P;G;54025;Greenbrier;;100.0;X;;0;;||WV577311108;Dem;3743;26.8;;X;;;1|WV570481108;GOP;9499;67.9;;X;;;2|WV577321108;Lib;472;3.4;;X;;;3|WV577671108;Mnt;200;1.4;;X;;;4|WV577831108;CST;70;0.5;;X;;;5
WV;P;G;54027;Hampshire;;100.0;X;;0;;||WV577311108;Dem;1576;18.4;;X;;;1|WV570481108;GOP;6646;77.7;;X;;;2|WV577321108;Lib;195;2.3;;X;;;3|WV577671108;Mnt;103;1.2;;X;;;4|WV577831108;CST;37;0.4;;X;;;5
WV;P;G;54029;Hancock;;100.0;X;;0;;||WV577311108;Dem;3247;25.7;;X;;;1|WV570481108;GOP;8870;70.2;;X;;;2|WV577321108;Lib;367;2.9;;X;;;3|WV577671108;Mnt;122;1.0;;X;;;4|WV577831108;CST;36;0.3;;X;;;5
WV;P;G;54031;Hardy;;100.0;X;;0;;||WV577311108;Dem;1249;20.7;;X;;;1|WV570481108;GOP;4544;75.5;;X;;;2|WV577321108;Lib;149;2.5;;X;;;3|WV577671108;Mnt;45;0.7;;X;;;4|WV577831108;CST;35;0.6;;X;;;5
WV;P;G;54033;Harrison;;100.0;X;;0;;||WV577311108;Dem;7675;27.5;;X;;;1|WV570481108;GOP;18687;67.1;;X;;;2|WV577321108;Lib;1035;3.7;;X;;;3|WV577671108;Mnt;326;1.2;;X;;;4|WV577831108;CST;145;0.5;;X;;;5
WV;P;G;54035;Jackson;;100.0;X;;0;;||WV577311108;Dem;2648;21.9;;X;;;1|WV570481108;GOP;8959;74.0;;X;;;2|WV577321108;Lib;302;2.5;;X;;;3|WV577671108;Mnt;106;0.9;;X;;;4|WV577831108;CST;93;0.8;;X;;;5
WV;P;G;54037;Jefferson;;100.0;X;;0;;||WV577311108;Dem;9458;39.4;;X;;;1|WV570481108;GOP;13144;54.8;;X;;;2|WV577321108;Lib;992;4.1;;X;;;3|WV577671108;Mnt;326;1.4;;X;;;4|WV577831108;CST;87;0.4;;X;;;5
WV;P;G;54039;Kanawha;;100.0;X;;0;;||WV577311108;Dem;27985;37.3;;X;;;1|WV570481108;GOP;43464;58.0;;X;;;2|WV577321108;Lib;2476;3.3;;X;;;3|WV577671108;Mnt;805;1.1;;X;;;4|WV577831108;CST;266;0.4;;X;;;5
WV;P;G;54041;Lewis;;100.0;X;;0;;||WV577311108;Dem;1336;19.4;;X;;;1|WV570481108;GOP;5245;76.2;;X;;;2|WV577321108;Lib;207;3.0;;X;;;3|WV577671108;Mnt;69;1.0;;X;;;4|WV577831108;CST;28;0.4;;X;;;5
WV;P;G;54043;Lincoln;;100.0;X;;0;;||WV577311108;Dem;1435;20.5;;X;;;1|WV570481108;GOP;5257;75.2;;X;;;2|WV577321108;Lib;187;2.7;;X;;;3|WV577671108;Mnt;62;0.9;;X;;;4|WV577831108;CST;47;0.7;;X;;;5
WV;P;G;54045;Logan;;100.0;X;;0;;||WV577311108;Dem;2082;16.9;;X;;;1|WV570481108;GOP;9866;80.1;;X;;;2|WV577321108;Lib;235;1.9;;X;;;3|WV577671108;Mnt;84;0.7;;X;;;4|WV577831108;CST;48;0.4;;X;;;5
WV;P;G;54049;Marion;;100.0;X;;0;;||WV577311108;Dem;6926;30.2;;X;;;1|WV570481108;GOP;14592;63.7;;X;;;2|WV577321108;Lib;894;3.9;;X;;;3|WV577671108;Mnt;367;1.6;;X;;;4|WV577831108;CST;131;0.6;;X;;;5
WV;P;G;54051;Marshall;;100.0;X;;0;;||WV577311108;Dem;2894;22.1;;X;;;1|WV570481108;GOP;9565;73.1;;X;;;2|WV577321108;Lib;414;3.2;;X;;;3|WV577671108;Mnt;151;1.2;;X;;;4|WV577831108;CST;59;0.5;;X;;;5
WV;P;G;54053;Mason;;100.0;X;;0;;||WV577311108;Dem;2069;20.5;;X;;;1|WV570481108;GOP;7597;75.1;;X;;;2|WV577321108;Lib;275;2.7;;X;;;3|WV577671108;Mnt;86;0.9;;X;;;4|WV577831108;CST;88;0.9;;X;;;5
WV;P;G;54047;McDowell;;100.0;X;;0;;||WV577311108;Dem;1429;23.1;;X;;;1|WV570481108;GOP;4614;74.7;;X;;;2|WV577321108;Lib;90;1.5;;X;;;3|WV577671108;Mnt;27;0.4;;X;;;4|WV577831108;CST;19;0.3;;X;;;5
WV;P;G;54055;Mercer;;100.0;X;;0;;||WV577311108;Dem;4689;20.5;;X;;;1|WV570481108;GOP;17362;75.8;;X;;;2|WV577321108;Lib;549;2.4;;X;;;3|WV577671108;Mnt;207;0.9;;X;;;4|WV577831108;CST;112;0.5;;X;;;5
WV;P;G;54057;Mineral;;100.0;X;;0;;||WV577311108;Dem;2019;17.7;;X;;;1|WV570481108;GOP;8957;78.5;;X;;;2|WV577321108;Lib;276;2.4;;X;;;3|WV577671108;Mnt;120;1.1;;X;;;4|WV577831108;CST;38;0.3;;X;;;5
WV;P;G;54059;Mingo;;100.0;X;;0;;||WV577311108;Dem;1365;14.4;;X;;;1|WV570481108;GOP;7876;83.2;;X;;;2|WV577321108;Lib;145;1.5;;X;;;3|WV577671108;Mnt;31;0.3;;X;;;4|WV577831108;CST;52;0.5;;X;;;5
WV;P;G;54061;Monongalia;;100.0;X;;0;;||WV577311108;Dem;14568;40.8;;X;;;1|WV570481108;GOP;18278;51.2;;X;;;2|WV577321108;Lib;1807;5.1;;X;;;3|WV577671108;Mnt;806;2.3;;X;;;4|WV577831108;CST;274;0.8;;X;;;5
WV;P;G;54063;Monroe;;100.0;X;;0;;||WV577311108;Dem;1089;19.2;;X;;;1|WV570481108;GOP;4337;76.5;;X;;;2|WV577321108;Lib;147;2.6;;X;;;3|WV577671108;Mnt;54;1.0;;X;;;4|WV577831108;CST;43;0.8;;X;;;5
WV;P;G;54065;Morgan;;100.0;X;;0;;||WV577311108;Dem;1568;20.5;;X;;;1|WV570481108;GOP;5718;74.9;;X;;;2|WV577321108;Lib;208;2.7;;X;;;3|WV577671108;Mnt;103;1.3;;X;;;4|WV577831108;CST;38;0.5;;X;;;5
WV;P;G;54067;Nicholas;;100.0;X;;0;;||WV577311108;Dem;1821;19.4;;X;;;1|WV570481108;GOP;7169;76.4;;X;;;2|WV577321108;Lib;279;3.0;;X;;;3|WV577671108;Mnt;82;0.9;;X;;;4|WV577831108;CST;34;0.4;;X;;;5
WV;P;G;54069;Ohio;;100.0;X;;0;;||WV577311108;Dem;5452;30.6;;X;;;1|WV570481108;GOP;11077;62.2;;X;;;2|WV577321108;Lib;738;4.1;;X;;;3|WV577671108;Mnt;382;2.1;;X;;;4|WV577831108;CST;170;1.0;;X;;;5
WV;P;G;54071;Pendleton;;100.0;X;;0;;||WV577311108;Dem;726;22.6;;X;;;1|WV570481108;GOP;2388;74.3;;X;;;2|WV577321108;Lib;73;2.3;;X;;;3|WV577671108;Mnt;18;0.6;;X;;;4|WV577831108;CST;7;0.2;;X;;;5
